sqrt_s,ReOmega_11,ImOmega_11,ReOmega_12,ImOmega_12,ReOmega_21,ImOmega_21,ReOmega_22,ImOmega_22
1.737610,-0.426098,0.554215,0.098168,-0.361698,0.252871,-0.492677,-0.652376,0.798075
1.739740,-0.426367,0.551899,0.099028,-0.360406,0.253539,-0.490622,-0.652573,0.794634
1.741420,-0.426574,0.550068,0.099702,-0.359382,0.254061,-0.488996,-0.652720,0.791914
1.742430,-0.426696,0.548965,0.100106,-0.358765,0.254372,-0.488017,-0.652805,0.790277
1.742920,-0.426754,0.548430,0.100302,-0.358466,0.254522,-0.487542,-0.652845,0.789483
1.743940,-0.426873,0.547330,0.100703,-0.357849,0.254829,-0.486565,-0.652924,0.787849
1.745620,-0.427064,0.545509,0.101363,-0.356827,0.255333,-0.484948,-0.653050,0.785147
1.747740,-0.427297,0.543218,0.102187,-0.355540,0.255959,-0.482912,-0.653196,0.781747
1.750020,-0.427536,0.540769,0.103062,-0.354160,0.256618,-0.480736,-0.653338,0.778114
1.752140,-0.427749,0.538493,0.103868,-0.352875,0.257221,-0.478712,-0.653457,0.774737
1.753820,-0.427912,0.536693,0.104500,-0.351857,0.257691,-0.477112,-0.653541,0.772069
1.754840,-0.428007,0.535609,0.104879,-0.351244,0.257971,-0.476149,-0.653589,0.770462
1.755330,-0.428052,0.535084,0.105063,-0.350946,0.258107,-0.475681,-0.653610,0.769683
1.756340,-0.428144,0.534002,0.105439,-0.350333,0.258383,-0.474719,-0.653653,0.768080
1.758020,-0.428291,0.532213,0.106057,-0.349318,0.258837,-0.473128,-0.653718,0.765429
1.760150,-0.428469,0.529963,0.106830,-0.348038,0.259399,-0.471126,-0.653788,0.762095
1.762420,-0.428650,0.527557,0.107649,-0.346667,0.259991,-0.468985,-0.653848,0.758531
1.764540,-0.428809,0.525320,0.108403,-0.345391,0.260532,-0.466994,-0.653892,0.755220
1.766220,-0.428928,0.523553,0.108995,-0.344380,0.260953,-0.465421,-0.653918,0.752603
1.767240,-0.428998,0.522488,0.109350,-0.343771,0.261204,-0.464473,-0.653930,0.751027
1.767730,-0.429031,0.521972,0.109521,-0.343476,0.261325,-0.464013,-0.653935,0.750264
1.768750,-0.429097,0.520910,0.109873,-0.342867,0.261573,-0.463067,-0.653942,0.748692
1.770430,-0.429203,0.519154,0.110452,-0.341859,0.261978,-0.461503,-0.653949,0.746093
1.772550,-0.429329,0.516944,0.111174,-0.340589,0.262480,-0.459534,-0.653947,0.742824
1.774820,-0.429454,0.514582,0.111939,-0.339229,0.263008,-0.457429,-0.653931,0.739330
1.776940,-0.429561,0.512386,0.112644,-0.337963,0.263489,-0.455473,-0.653904,0.736085
1.778630,-0.429640,0.510651,0.113197,-0.336961,0.263864,-0.453926,-0.653874,0.733520
1.779640,-0.429685,0.509607,0.113528,-0.336357,0.264087,-0.452995,-0.653852,0.731976
1.780130,-0.429707,0.509100,0.113688,-0.336064,0.264195,-0.452543,-0.653841,0.731227
1.781150,-0.429749,0.508058,0.114016,-0.335460,0.264414,-0.451614,-0.653816,0.729687
